round,AVG RTT,AVG distance
461,0.8232854307,0.2266895833
462,1.0897964239,0.2291128318
463,1.6025938094,0.2281013619
464,2.1134652197,0.2287614674
465,1.3266280293,0.2308184582
466,0.8093155921,0.22907484
467,0.2274923027,0.2301606629
468,1.0004229844,0.2312260353
469,2.0795203745,0.2290693592
470,2.067361027,0.231589159
471,1.3038925827,0.2328077567
472,0.2290830016,0.2297480075
473,1.7595924437,0.2311199184
474,2.2707507014,0.2319786147
475,2.2744201124,0.2313488695
476,0.7457733154,0.2324160621
477,0.228587538,0.2327100839
478,1.3832971454,0.230785578
479,1.9076280296,0.234150021
480,1.9122473896,0.2335697596
481,0.7426664233,0.2322100922
482,0.2222172916,0.2368547713
483,0.726275146,0.2369925277
484,1.8058046699,0.2329102729
485,1.8087700009,0.2353343434
486,1.2937746942,0.2333533986
487,1.996923238,0.2328978299
488,2.5571025908,0.2355689062
489,2.5624632835,0.2340203008
490,0.7837228477,0.2326546323
491,0.2255551517,0.2360557435
492,1.0119825602,0.2345743308
493,2.0448453724,0.2327360677
494,2.0367763937,0.2349036383
495,1.2440271676,0.2337005816
496,0.8221566677,0.2329526429
497,2.0539425313,0.2344923149
498,2.0653903484,0.2328455555
499,1.4659687877,0.2323010772
500,0.2318806946,0.2347354502
501,0.8456632495,0.2330867501
502,1.8703900278,0.2337736764
503,1.8791332841,0.2360296391
504,1.2621954083,0.234440971
505,0.9310916066,0.2358902171
506,2.0479895175,0.2375450001
507,2.6155374944,0.2364894759
508,1.9149333239,0.2357271101
509,0.7932633162,0.2361015732
510,0.9904541075,0.2362707487
511,2.0712167025,0.2357354113
512,2.0735152066,0.2360747468
513,1.3064928353,0.2363058497
514,0.8006542921,0.2349507329
515,1.7563849688,0.235990874
516,2.2731944919,0.2358333419
517,1.689825207,0.2340678638
518,0.7437206805,0.2346747927
519,0.8484721184,0.3160904075
520,1.9558407366,0.3582954299
521,1.9428245723,0.281634732
522,1.3198629022,0.2674820144
523,0.8957833052,0.2938706199
524,1.8473751843,0.2884711107
525,2.3824609816,0.2870521732
526,1.7278529704,0.2652885455
527,0.7860437036,0.263572279
528,1.1127963662,0.5030765549
529,2.2069439292,0.5654019346
530,2.2154338658,0.4501634564
531,1.352660358,0.4073931136
532,0.8325986564,0.4421488473
533,1.4935731888,0.4118500558
534,2.0155571401,0.3996451701
535,1.4460086823,0.3724512084
536,0.7815212011,0.3486193268
537,1.0647661984,0.5171769755
538,2.2015124559,0.5416749815
539,2.1850168705,0.5205511487
540,1.3924576342,0.4864169312
541,0.8750148118,0.4992331434
542,1.4665983617,0.4579927597
543,1.9822902977,0.462280377
544,1.3553462923,0.4378525493
545,0.7693693042,0.4178947531
546,1.8454454839,0.4964811566
547,3.2139755785,0.5087408323
548,3.2249987125,0.4580951028
549,1.6255490482,0.4183477428
550,0.9973607957,0.5075567678
551,1.813556999,0.4726840363
552,2.344276756,0.4870652758
553,1.5869140625,0.4612871066
554,0.7522329688,0.4413445623
555,0.9789317846,0.4753161115
556,2.0320415497,0.4800366061
557,2.0369030535,0.4761297004
558,1.323916018,0.431549078
559,0.9758509696,0.4852728078
560,1.6043670476,0.45598325
561,2.1340399981,0.4784228171
562,1.4400854707,0.4476354294
563,0.8106864989,0.4307154569
564,0.8587278426,0.4545861187
565,1.9955709577,0.457181901
566,1.9882395864,0.4445201681
567,1.3675540686,0.4005470706
